ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	ai.cyr3con.gargoyl3.gatling.simulations.VulnerabilitiesSimulation	vulnerabilitiessimulation	1646738112385	 	3.3.1
REQUEST	91		info (ES)	1646738114120	1646738115579	OK	 
USER	get vulnerabilities info (authorized, from ES)	91	END	1646738114098	1646738115688
REQUEST	98		vulnerability stats	1646738114120	1646738115681	OK	 
USER	get vulnerabilities statistics	98	END	1646738114099	1646738115696
REQUEST	102		vulnerability stats	1646738114113	1646738115697	OK	 
REQUEST	34		cve metadata	1646738114193	1646738115699	OK	 
USER	get vulnerabilities statistics	102	END	1646738114108	1646738115699
USER	get CVE metadata	34	END	1646738114030	1646738115700
REQUEST	30		cve metadata	1646738114135	1646738115700	OK	 
USER	get CVE metadata	30	END	1646738114030	1646738115701
REQUEST	92		info (ES)	1646738114101	1646738115537	OK	 
USER	get vulnerabilities info (authorized, from ES)	92	END	1646738114098	1646738115710
REQUEST	108		vulnerability essentials	1646738114155	1646738115711	OK	 
USER	get vulnerabilities essentials (authorized)	108	END	1646738114113	1646738115713
REQUEST	5		vr historical search (Mongo)	1646738114093	1646738115493	OK	 
USER	get rankings historical search (from Mongo)	5	END	1646738113982	1646738115715
REQUEST	61		rankings - CVE timeline	1646738114153	1646738115715	OK	 
REQUEST	18		info details	1646738114139	1646738115702	OK	 
USER	get info details	18	END	1646738114023	1646738115719
REQUEST	104		vulnerability essentials	1646738114109	1646738115713	OK	 
USER	get vulnerabilities essentials (authorized)	104	END	1646738114108	1646738115722
REQUEST	112		vulnerability essentials	1646738114119	1646738115723	OK	 
USER	get vulnerabilities essentials (authorized)	112	END	1646738114114	1646738115724
USER	get rankings CVE timeline	61	END	1646738114035	1646738115725
REQUEST	100		vulnerability stats	1646738114112	1646738115724	OK	 
USER	get vulnerabilities statistics	100	END	1646738114107	1646738115739
REQUEST	64		rankings - CVE timeline	1646738114154	1646738115739	OK	 
USER	get rankings CVE timeline	64	END	1646738114035	1646738115751
REQUEST	20		info details	1646738114139	1646738115752	OK	 
USER	get info details	20	END	1646738114025	1646738115760
REQUEST	124		info (ES)	1646738114225	1646738115765	OK	 
USER	get random vulnerabilities info (from ES)	124	END	1646738114119	1646738115766
REQUEST	46		CVEs by CyRating	1646738114132	1646738115735	OK	 
USER	get CVEs by CyRating	46	END	1646738114032	1646738115809
REQUEST	44		CVEs by CyRating	1646738114131	1646738115778	OK	 
REQUEST	7		vr historical search (ES)	1646738114094	1646738115706	OK	 
USER	get rankings historical search (from ES)	7	END	1646738114001	1646738115841
REQUEST	38		CVEs by CyRating	1646738114089	1646738115814	OK	 
USER	get CVEs by CyRating	38	END	1646738114031	1646738115845
USER	get CVEs by CyRating	44	END	1646738114032	1646738115850
